Complaint Type,Location Type,Street Name,Borough
Noise - Residential,Residential Building/House,DAVIS AVENUE,BRONX
Noise - Residential,Residential Building/House,CRESCENT STREET,QUEENS
Noise - Residential,Residential Building/House,SANDS STREET,BROOKLYN
Noise - Residential,Residential Building/House,BRONXWOOD AVENUE,BRONX
Noise - Residential,Residential Building/House,20 STREET,QUEENS
Noise - Residential,Residential Building/House,EAST   10 STREET,MANHATTAN
Noise - Residential,Residential Building/House,BANKER STREET,BROOKLYN
Noise - Residential,Residential Building/House,KEAP STREET,BROOKLYN
Noise - Residential,Residential Building/House,EDGECOMBE AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,STORY AVENUE,BRONX
Noise - Residential,Residential Building/House,DECATUR AVENUE,BRONX
Noise - Residential,Residential Building/House,WYCKOFF AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,LENOX AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,CARLTON AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,BENTON STREET,QUEENS
Noise - Residential,Residential Building/House,HUGHES AVENUE,BRONX
Noise - Residential,Residential Building/House,AUDUBON AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,SANDS STREET,BROOKLYN
Noise - Residential,Residential Building/House,EAST    6 STREET,MANHATTAN
Noise - Residential,Residential Building/House,EAST    6 STREET,MANHATTAN
Noise - Residential,Residential Building/House,98 STREET,QUEENS
Noise - Residential,Residential Building/House,EAST  196 STREET,BRONX
Noise - Residential,Residential Building/House,MYRTLE AVENUE,BROOKLYN
Benefit Card Replacement,NYC Street Address,nan,Unspecified
Noise - Residential,Residential Building/House,ST NICHOLAS AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,MYRTLE AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,WEST   54 STREET,MANHATTAN
Noise - Residential,Residential Building/House,WEST  205 STREET,MANHATTAN
Street Light Condition,nan,nan,BROOKLYN
Noise - Residential,Residential Building/House,LINDEN BOULEVARD,BROOKLYN
Noise - Residential,Residential Building/House,TIEBOUT AVENUE,BRONX
Noise - Residential,Residential Building/House,SOUTH    2 STREET,BROOKLYN
Noise - Residential,Residential Building/House,STROUD AVENUE,STATEN ISLAND
Noise - Residential,Residential Building/House,GRAND CONCOURSE,BRONX
Noise - Residential,Residential Building/House,179 STREET,QUEENS
Noise - Residential,Residential Building/House,CONEY ISLAND AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,149 STREET,QUEENS
Noise - Residential,Residential Building/House,TILDEN AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,3 AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,SKILLMAN AVENUE,QUEENS
Noise - Residential,Residential Building/House,8 AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,70 STREET,QUEENS
Noise - Residential,Residential Building/House,EAST  105 STREET,MANHATTAN
Noise - Residential,Residential Building/House,BROOK AVENUE,BRONX
Noise - Residential,Residential Building/House,PARK AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,MAPLE AVENUE,QUEENS
Noise - Residential,Residential Building/House,ELIZABETH STREET,STATEN ISLAND
Noise - Residential,Residential Building/House,DAVIDSON AVENUE,BRONX
Noise - Residential,Residential Building/House,WEST   28 STREET,MANHATTAN
Noise - Residential,Residential Building/House,JEFFERSON AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,ECKFORD STREET,BROOKLYN
Noise - Residential,Residential Building/House,DECATUR STREET,BROOKLYN
Noise - Residential,Residential Building/House,DIVISION STREET,MANHATTAN
Noise - Residential,Residential Building/House,8 AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,ST NICHOLAS AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,EAST  138 STREET,BRONX
Noise - Residential,Residential Building/House,EAST  163 STREET,BRONX
Noise - Residential,Residential Building/House,TINTON AVENUE,BRONX
Noise - Residential,Residential Building/House,EAST  163 STREET,BRONX
Noise - Residential,Residential Building/House,8 AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,CLERMONT AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,BALTIC STREET,BROOKLYN
Street Condition,nan,nan,QUEENS
Noise - Street/Sidewalk,Street/Sidewalk,EAST  181 STREET,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,VYSE AVENUE,BRONX
Noise - Residential,Residential Building/House,GRAND CONCOURSE,BRONX
Noise - Residential,Residential Building/House,VERNON BOULEVARD,QUEENS
